Data;Abertura;Máxima;Mínima;Fechamento
17/02/2020 13:06;115900;115905;115850;115880
17/02/2020 13:05;115850;115900;115830;115900
17/02/2020 13:04;115800;115850;115745;115850
17/02/2020 13:04;115800;115800;115750;115750
17/02/2020 13:03;115850;115875;115800;115800
17/02/2020 12:59;115900;115980;115850;115850
17/02/2020 12:40;115900;115950;115800;115950
17/02/2020 12:39;115900;115925;115850;115850
17/02/2020 12:36;115950;115975;115900;115900
17/02/2020 12:36;116000;116005;115950;115950
17/02/2020 12:10;116050;116145;116000;116000
17/02/2020 12:04;116050;116100;116005;116100
17/02/2020 12:03;116000;116050;115975;116050
17/02/2020 12:02;115950;116000;115930;116000
17/02/2020 12:00;115900;115950;115845;115950
17/02/2020 11:56;115900;115930;115850;115850
17/02/2020 11:54;115950;116020;115900;115900
17/02/2020 11:54;115950;116000;115950;116000
17/02/2020 11:49;115900;115950;115805;115950
17/02/2020 11:44;115900;115995;115850;115850
17/02/2020 11:43;115900;115950;115840;115950
17/02/2020 11:35;115900;116000;115850;115850
17/02/2020 11:35;115900;115950;115890;115950
17/02/2020 11:33;115850;115900;115815;115900
17/02/2020 11:32;115800;115850;115760;115850
17/02/2020 11:30;115750;115800;115710;115800
17/02/2020 11:30;115700;115750;115700;115750
17/02/2020 11:28;115650;115700;115635;115700
17/02/2020 11:16;115600;115650;115510;115650
17/02/2020 11:14;115550;115600;115530;115600
17/02/2020 11:01;115500;115550;115415;115550
17/02/2020 10:57;115500;115510;115450;115450
17/02/2020 10:54;115550;115650;115500;115500
17/02/2020 10:52;115600;115660;115550;115550
17/02/2020 10:51;115600;115650;115580;115650
17/02/2020 10:50;115550;115600;115535;115600
17/02/2020 10:44;115500;115550;115415;115550
17/02/2020 10:43;115450;115500;115360;115500
17/02/2020 10:43;115450;115470;115400;115400
17/02/2020 10:41;115500;115550;115450;115450
17/02/2020 10:40;115550;115550;115500;115500
17/02/2020 10:40;115600;115685;115550;115550
17/02/2020 10:37;115600;115650;115550;115650
17/02/2020 10:35;115550;115600;115470;115600
17/02/2020 10:35;115550;115625;115500;115500
17/02/2020 10:34;115550;115600;115465;115600
17/02/2020 10:33;115500;115550;115465;115550
17/02/2020 10:33;115450;115500;115435;115500
17/02/2020 10:32;115400;115450;115345;115450
17/02/2020 10:31;115400;115450;115350;115350
17/02/2020 10:28;115450;115510;115400;115400
17/02/2020 10:28;115450;115500;115420;115500
17/02/2020 10:28;115400;115450;115345;115450
17/02/2020 10:28;115400;115400;115350;115350
17/02/2020 10:26;115450;115540;115400;115400
17/02/2020 10:20;115450;115500;115355;115500
17/02/2020 10:17;115450;115500;115400;115400
17/02/2020 10:17;115500;115500;115450;115450
17/02/2020 10:15;115550;115600;115500;115500
17/02/2020 10:14;115600;115660;115550;115550
17/02/2020 10:10;115600;115650;115520;115650
17/02/2020 10:10;115600;115665;115550;115550
17/02/2020 10:08;115600;115650;115520;115650
17/02/2020 10:08;115600;115620;115550;115550
17/02/2020 10:06;115650;115685;115600;115600
17/02/2020 10:05;115700;115710;115650;115650
17/02/2020 10:04;115750;115825;115700;115700
17/02/2020 10:03;115750;115800;115705;115800
17/02/2020 10:01;115700;115750;115625;115750
17/02/2020 10:01;115700;115705;115650;115650
17/02/2020 10:00;115750;115850;115700;115700
17/02/2020 10:00;115750;115800;115750;115800
17/02/2020 09:59;115700;115750;115665;115750
17/02/2020 09:57;115650;115700;115585;115700
17/02/2020 09:47;115650;115690;115600;115600
17/02/2020 09:37;115700;115800;115650;115650
17/02/2020 09:27;115700;115750;115645;115750
17/02/2020 09:26;115650;115700;115640;115700
17/02/2020 09:26;115600;115650;115555;115650
17/02/2020 09:26;115550;115600;115550;115600
