Data;Abertura;Máxima;Mínima;Fechamento
14/02/2020 18:09;114975;114985;114965;114975
14/02/2020 18:09;114990;114990;114975;114975
14/02/2020 18:09;115005;115010;114990;114990
14/02/2020 18:09;115020;115020;115005;115005
14/02/2020 18:08;115035;115065;115020;115020
14/02/2020 18:08;115035;115050;115035;115050
14/02/2020 18:08;115020;115035;114995;115035
14/02/2020 18:08;115020;115040;115005;115005
14/02/2020 18:08;115020;115035;115020;115035
14/02/2020 18:08;115005;115020;114975;115020
14/02/2020 18:08;115005;115030;114990;114990
14/02/2020 18:07;115020;115045;115005;115005
14/02/2020 18:07;115020;115035;115020;115035
14/02/2020 18:07;115005;115020;115000;115020
14/02/2020 18:07;114990;115005;114965;115005
14/02/2020 18:07;114990;114990;114975;114975
14/02/2020 18:07;115005;115005;114990;114990
14/02/2020 18:07;115020;115020;115005;115005
14/02/2020 18:07;115035;115060;115020;115020
14/02/2020 18:07;115035;115050;115035;115050
14/02/2020 18:07;115020;115035;114990;115035
14/02/2020 18:07;115020;115040;115005;115005
14/02/2020 18:07;115020;115035;115020;115035
14/02/2020 18:07;115005;115020;115005;115020
14/02/2020 18:07;114990;115005;114970;115005
14/02/2020 18:07;114990;114990;114975;114975
14/02/2020 18:07;115005;115005;114990;114990
14/02/2020 18:07;115020;115025;115005;115005
14/02/2020 18:07;115035;115065;115020;115020
14/02/2020 18:07;115050;115050;115035;115035
14/02/2020 18:06;115065;115080;115050;115050
14/02/2020 18:06;115080;115095;115065;115065
14/02/2020 18:06;115095;115095;115080;115080
14/02/2020 18:05;115110;115115;115095;115095
14/02/2020 18:05;115125;115145;115110;115110
14/02/2020 18:05;115125;115140;115105;115140
14/02/2020 18:05;115110;115125;115110;115125
14/02/2020 18:05;115095;115110;115095;115110
14/02/2020 18:04;115080;115095;115050;115095
14/02/2020 18:04;115080;115080;115065;115065
14/02/2020 18:04;115095;115120;115080;115080
14/02/2020 18:04;115095;115110;115095;115110
14/02/2020 18:04;115080;115095;115080;115095
14/02/2020 18:04;115065;115080;115060;115080
14/02/2020 18:04;115050;115065;115025;115065
14/02/2020 18:03;115050;115075;115035;115035
14/02/2020 18:03;115050;115065;115050;115065
14/02/2020 18:02;115035;115050;115010;115050
14/02/2020 18:02;115020;115035;115010;115035
14/02/2020 18:01;115005;115020;114980;115020
14/02/2020 18:01;115005;115005;114990;114990
14/02/2020 18:01;115020;115040;115005;115005
14/02/2020 18:01;115020;115035;115000;115035
14/02/2020 18:00;115020;115045;115005;115005
14/02/2020 18:00;115020;115035;115010;115035
14/02/2020 18:00;115005;115020;115005;115020
14/02/2020 18:00;114990;115005;114960;115005
14/02/2020 18:00;114990;115000;114975;114975
14/02/2020 17:59;115005;115030;114990;114990
14/02/2020 17:58;115005;115020;114985;115020
14/02/2020 17:58;114990;115005;114990;115005
14/02/2020 17:58;114975;114990;114975;114990
14/02/2020 17:58;114960;114975;114935;114975
14/02/2020 17:58;114945;114960;114925;114960
14/02/2020 17:58;114945;114945;114930;114930
14/02/2020 17:57;114960;114980;114945;114945
14/02/2020 17:57;114960;114975;114950;114975
14/02/2020 17:57;114945;114960;114920;114960
14/02/2020 17:57;114945;114965;114930;114930
14/02/2020 17:56;114945;114960;114915;114960
14/02/2020 17:56;114945;114960;114930;114930
14/02/2020 17:56;114960;114980;114945;114945
14/02/2020 17:56;114960;114975;114955;114975
14/02/2020 17:56;114945;114960;114915;114960
14/02/2020 17:56;114945;114945;114930;114930
14/02/2020 17:56;114960;114960;114945;114945
14/02/2020 17:53;114975;115005;114960;114960
14/02/2020 17:50;114990;115015;114975;114975
14/02/2020 17:50;114990;115005;114960;115005
14/02/2020 17:50;114990;115015;114975;114975
14/02/2020 17:49;114990;115005;114970;115005
14/02/2020 17:49;114990;115005;114975;114975
14/02/2020 17:48;115005;115030;114990;114990
14/02/2020 17:48;115005;115020;115005;115020
14/02/2020 17:48;114990;115005;114990;115005
14/02/2020 17:48;114975;114990;114960;114990
14/02/2020 17:47;114960;114975;114940;114975
14/02/2020 17:47;114960;114960;114945;114945
14/02/2020 17:47;114975;114980;114960;114960
14/02/2020 17:47;114990;115000;114975;114975
14/02/2020 17:47;115005;115005;114990;114990
14/02/2020 17:47;115020;115020;115005;115005
14/02/2020 17:46;115035;115060;115020;115020
14/02/2020 17:44;115035;115050;115010;115050
14/02/2020 17:43;115035;115060;115020;115020
14/02/2020 17:41;115035;115050;115015;115050
14/02/2020 17:40;115035;115050;115020;115020
14/02/2020 17:39;115050;115070;115035;115035
14/02/2020 17:38;115050;115065;115020;115065
14/02/2020 17:38;115050;115050;115035;115035
14/02/2020 17:35;115065;115085;115050;115050
14/02/2020 17:33;115080;115110;115065;115065
14/02/2020 17:31;115095;115125;115080;115080
14/02/2020 17:28;115095;115110;115065;115110
14/02/2020 17:28;115095;115125;115080;115080
14/02/2020 17:27;115095;115110;115090;115110
14/02/2020 17:27;115080;115095;115060;115095
14/02/2020 17:25;115080;115105;115065;115065
14/02/2020 17:25;115095;115095;115080;115080
14/02/2020 17:25;115110;115140;115095;115095
14/02/2020 17:25;115110;115125;115085;115125
14/02/2020 17:24;115110;115135;115095;115095
14/02/2020 17:24;115110;115125;115100;115125
14/02/2020 17:24;115095;115110;115095;115110
14/02/2020 17:22;115080;115095;115055;115095
14/02/2020 17:22;115065;115080;115050;115080
14/02/2020 17:21;115050;115065;115020;115065
14/02/2020 17:21;115050;115055;115035;115035
14/02/2020 17:21;115065;115095;115050;115050
14/02/2020 17:21;115065;115080;115060;115080
14/02/2020 17:21;115050;115065;115050;115065
14/02/2020 17:21;115035;115050;115035;115050
14/02/2020 17:20;115020;115035;115020;115035
14/02/2020 17:19;115005;115020;114980;115020
14/02/2020 17:19;115005;115015;114990;114990
14/02/2020 17:19;115020;115030;115005;115005
14/02/2020 17:18;115035;115055;115020;115020
14/02/2020 17:18;115035;115050;115015;115050
14/02/2020 17:18;115035;115055;115020;115020
14/02/2020 17:18;115035;115050;115035;115050
14/02/2020 17:17;115020;115035;115000;115035
14/02/2020 17:16;115020;115040;115005;115005
14/02/2020 17:16;115020;115035;114990;115035
14/02/2020 17:16;115020;115030;115005;115005
14/02/2020 17:15;115035;115040;115020;115020
14/02/2020 17:13;115050;115075;115035;115035
14/02/2020 17:13;115050;115065;115035;115065
14/02/2020 17:12;115035;115050;115025;115050
14/02/2020 17:12;115020;115035;115000;115035
14/02/2020 17:12;115020;115025;115005;115005
14/02/2020 17:12;115035;115040;115020;115020
14/02/2020 17:12;115050;115055;115035;115035
14/02/2020 17:12;115065;115090;115050;115050
14/02/2020 17:11;115080;115095;115065;115065
14/02/2020 17:11;115095;115100;115080;115080
14/02/2020 17:11;115110;115125;115095;115095
14/02/2020 17:11;115125;115125;115110;115110
14/02/2020 17:11;115140;115160;115125;115125
14/02/2020 17:11;115140;115155;115140;115155
14/02/2020 17:11;115125;115140;115125;115140
14/02/2020 17:11;115110;115125;115105;115125
14/02/2020 17:11;115095;115110;115095;115110
14/02/2020 17:09;115080;115095;115055;115095
14/02/2020 17:09;115065;115080;115045;115080
14/02/2020 17:08;115065;115085;115050;115050
14/02/2020 17:08;115065;115080;115045;115080
14/02/2020 17:07;115065;115090;115050;115050
14/02/2020 17:06;115065;115080;115060;115080
14/02/2020 17:06;115050;115065;115030;115065
14/02/2020 17:05;115050;115080;115035;115035
14/02/2020 17:04;115050;115065;115025;115065
14/02/2020 17:04;115050;115050;115035;115035
14/02/2020 17:04;115065;115075;115050;115050
14/02/2020 17:03;115080;115100;115065;115065
