Data;Abertura;Máxima;Mínima;Fechamento
14/02/2020 16:33;115080;115185;114915;114975
14/02/2020 16:17;114960;115080;114765;115080
14/02/2020 16:16;114960;114960;114840;114840
14/02/2020 15:38;115080;115250;114960;114960
14/02/2020 14:50;115080;115200;114890;115200
14/02/2020 14:45;115080;115275;114960;114960
14/02/2020 14:27;115080;115200;114970;115200
14/02/2020 14:16;114960;115080;114785;115080
14/02/2020 13:46;114960;115070;114840;114840
14/02/2020 13:01;115080;115260;114960;114960
14/02/2020 12:44;115200;115280;115080;115080
14/02/2020 12:08;115320;115510;115200;115200
14/02/2020 12:03;115320;115440;115170;115440
14/02/2020 11:50;115320;115460;115200;115200
14/02/2020 11:45;115440;115555;115320;115320
14/02/2020 11:44;115560;115575;115440;115440
14/02/2020 11:36;115680;115710;115560;115560
14/02/2020 11:31;115800;115990;115680;115680
14/02/2020 11:25;115920;116035;115800;115800
14/02/2020 11:03;116040;116270;115920;115920
14/02/2020 10:55;116040;116160;115950;116160
14/02/2020 10:38;115920;116040;115780;116040
14/02/2020 10:23;115920;116055;115800;115800
14/02/2020 10:22;116040;116095;115920;115920
14/02/2020 10:05;116160;116295;116040;116040
14/02/2020 10:01;116280;116325;116160;116160
14/02/2020 09:27;116400;116565;116280;116280
14/02/2020 09:16;116520;116545;116400;116400
14/02/2020 09:05;116640;116660;116520;116520
14/02/2020 09:01;116760;116930;116640;116640
14/02/2020 09:00;116760;116880;116705;116880
14/02/2020 09:00;116640;116760;116640;116760
14/02/2020 09:00;116520;116640;116520;116640
13/02/2020 17:48;116400;116520;116165;116520
13/02/2020 17:13;116280;116400;116055;116400
13/02/2020 17:04;116280;116300;116160;116160
13/02/2020 17:00;116400;116530;116280;116280
13/02/2020 17:00;116400;116520;116390;116520
13/02/2020 16:23;116280;116400;116070;116400
13/02/2020 16:16;116280;116430;116160;116160
13/02/2020 16:13;116280;116400;116155;116400
13/02/2020 15:45;116280;116440;116160;116160
13/02/2020 15:45;116280;116400;116260;116400
13/02/2020 15:09;116160;116280;116020;116280
13/02/2020 15:07;116040;116160;115900;116160
13/02/2020 15:00;116040;116140;115920;115920
13/02/2020 14:48;116160;116315;116040;116040
13/02/2020 14:30;116160;116280;115925;116280
13/02/2020 14:27;116160;116185;116040;116040
13/02/2020 14:20;116280;116330;116160;116160
13/02/2020 13:48;116400;116560;116280;116280
13/02/2020 13:35;116520;116705;116400;116400
13/02/2020 13:34;116520;116640;116475;116640
13/02/2020 13:02;116400;116520;116160;116520
13/02/2020 12:46;116280;116400;116095;116400
13/02/2020 12:46;116160;116280;116145;116280
13/02/2020 12:45;116040;116160;116030;116160
13/02/2020 12:40;115920;116040;115890;116040
13/02/2020 12:29;115800;115920;115615;115920
13/02/2020 12:25;115800;115810;115680;115680
13/02/2020 12:15;115920;116090;115800;115800
13/02/2020 12:08;115920;116040;115805;116040
13/02/2020 12:01;115800;115920;115650;115920
13/02/2020 11:58;115800;115870;115680;115680
13/02/2020 11:52;115920;115990;115800;115800
13/02/2020 11:51;116040;116085;115920;115920
13/02/2020 11:25;116160;116380;116040;116040
13/02/2020 11:25;116280;116280;116160;116160
13/02/2020 11:05;116400;116595;116280;116280
13/02/2020 10:59;116520;116645;116400;116400
13/02/2020 10:56;116520;116640;116460;116640
13/02/2020 10:53;116400;116520;116380;116520
13/02/2020 10:53;116280;116400;116280;116400
13/02/2020 10:49;116160;116280;116160;116280
13/02/2020 10:45;116040;116160;116005;116160
13/02/2020 10:40;115920;116040;115845;116040
13/02/2020 10:30;115800;115920;115635;115920
13/02/2020 10:24;115680;115800;115440;115800
13/02/2020 10:12;115680;115795;115560;115560
13/02/2020 10:05;115800;115920;115680;115680
13/02/2020 10:02;115920;116140;115800;115800
13/02/2020 10:01;115920;116040;115795;116040
13/02/2020 09:54;115920;116090;115800;115800
13/02/2020 09:48;116040;116105;115920;115920
13/02/2020 09:09;116160;116360;116040;116040
13/02/2020 09:08;116160;116280;116155;116280
13/02/2020 09:03;116040;116160;115825;116160
13/02/2020 09:03;116040;116080;115920;115920
13/02/2020 09:03;116160;116160;116040;116040
13/02/2020 09:03;116280;116280;116160;116160
13/02/2020 09:03;116400;116400;116280;116280
13/02/2020 09:03;116520;116520;116400;116400
13/02/2020 09:03;116640;116640;116520;116520
13/02/2020 09:03;116760;116760;116640;116640
13/02/2020 09:03;116880;116880;116760;116760
13/02/2020 09:03;117000;117000;116880;116880
13/02/2020 09:03;117120;117120;117000;117000
13/02/2020 09:03;117240;117240;117120;117120
12/02/2020 18:00;117360;117435;117240;117240
12/02/2020 17:52;117480;117695;117360;117360
12/02/2020 17:37;117480;117600;117275;117600
12/02/2020 17:23;117360;117480;117215;117480
12/02/2020 17:11;117360;117535;117240;117240
12/02/2020 17:10;117480;117490;117360;117360
12/02/2020 17:00;117600;117820;117480;117480
12/02/2020 16:55;117720;117720;117600;117600
12/02/2020 16:43;117840;117960;117720;117720
12/02/2020 16:42;117960;117985;117840;117840
