Data;Abertura;Máxima;Mínima;Fechamento
20/02/2020 09:41;116865;116910;116820;116855
20/02/2020 09:21;116820;116865;116740;116865
20/02/2020 09:18;116775;116820;116725;116820
20/02/2020 09:15;116730;116775;116660;116775
20/02/2020 09:14;116730;116735;116685;116685
20/02/2020 09:07;116775;116830;116730;116730
20/02/2020 09:07;116820;116830;116775;116775
20/02/2020 09:05;116865;116890;116820;116820
20/02/2020 09:05;116910;116960;116865;116865
20/02/2020 09:04;116910;116955;116840;116955
20/02/2020 09:03;116910;116975;116865;116865
20/02/2020 09:02;116910;116955;116905;116955
20/02/2020 09:02;116865;116910;116825;116910
20/02/2020 09:02;116820;116865;116820;116865
20/02/2020 09:01;116775;116820;116740;116820
20/02/2020 09:00;116730;116775;116645;116775
20/02/2020 09:00;116730;116780;116685;116685
20/02/2020 09:00;116775;116775;116730;116730
20/02/2020 09:00;116820;116820;116775;116775
20/02/2020 09:00;116865;116865;116820;116820
20/02/2020 09:00;116910;116910;116865;116865
20/02/2020 09:00;116955;116955;116910;116910
19/02/2020 18:19;117000;117000;116955;116955
19/02/2020 18:08;117045;117095;117000;117000
19/02/2020 18:04;117090;117120;117045;117045
19/02/2020 17:57;117135;117210;117090;117090
19/02/2020 17:57;117135;117180;117085;117180
19/02/2020 17:54;117135;117220;117090;117090
19/02/2020 17:54;117135;117180;117120;117180
19/02/2020 17:53;117090;117135;117085;117135
19/02/2020 17:50;117045;117090;116970;117090
19/02/2020 17:50;117045;117065;117000;117000
19/02/2020 17:41;117090;117145;117045;117045
19/02/2020 17:41;117135;117190;117090;117090
19/02/2020 17:39;117135;117180;117120;117180
19/02/2020 17:37;117090;117135;117030;117135
19/02/2020 17:32;117090;117180;117045;117045
19/02/2020 17:30;117090;117135;117065;117135
19/02/2020 17:30;117045;117090;116995;117090
19/02/2020 17:27;117045;117115;117000;117000
19/02/2020 17:22;117045;117090;117010;117090
19/02/2020 17:20;117000;117045;116975;117045
19/02/2020 17:17;116955;117000;116930;117000
19/02/2020 17:17;116910;116955;116900;116955
19/02/2020 17:15;116865;116910;116795;116910
19/02/2020 17:12;116865;116890;116820;116820
19/02/2020 17:11;116910;116940;116865;116865
19/02/2020 17:10;116955;116965;116910;116910
19/02/2020 17:06;117000;117025;116955;116955
19/02/2020 17:04;117045;117125;117000;117000
19/02/2020 16:54;117045;117090;116955;117090
19/02/2020 16:51;117045;117100;117000;117000
19/02/2020 16:51;117090;117090;117045;117045
19/02/2020 16:51;117135;117195;117090;117090
19/02/2020 16:48;117135;117180;117105;117180
19/02/2020 16:47;117090;117135;117055;117135
19/02/2020 16:44;117045;117090;116985;117090
19/02/2020 16:43;117000;117045;116955;117045
19/02/2020 16:40;116955;117000;116890;117000
19/02/2020 16:39;116910;116955;116905;116955
19/02/2020 16:39;116865;116910;116860;116910
19/02/2020 16:37;116820;116865;116790;116865
19/02/2020 16:27;116775;116820;116690;116820
19/02/2020 16:19;116775;116795;116730;116730
19/02/2020 16:15;116820;116900;116775;116775
19/02/2020 16:15;116820;116865;116815;116865
19/02/2020 16:14;116775;116820;116755;116820
19/02/2020 16:08;116730;116775;116675;116775
19/02/2020 16:06;116685;116730;116675;116730
19/02/2020 16:05;116640;116685;116590;116685
19/02/2020 16:03;116640;116695;116595;116595
19/02/2020 16:03;116640;116685;116620;116685
19/02/2020 16:00;116595;116640;116540;116640
19/02/2020 15:58;116595;116655;116550;116550
19/02/2020 15:58;116640;116640;116595;116595
19/02/2020 15:50;116685;116765;116640;116640
19/02/2020 15:50;116685;116730;116685;116730
19/02/2020 15:47;116640;116685;116585;116685
19/02/2020 15:46;116640;116690;116595;116595
19/02/2020 15:46;116640;116685;116640;116685
19/02/2020 15:13;116595;116640;116505;116640
19/02/2020 15:12;116595;116625;116550;116550
19/02/2020 15:12;116640;116640;116595;116595
19/02/2020 15:06;116685;116735;116640;116640
19/02/2020 15:03;116730;116740;116685;116685
19/02/2020 14:57;116775;116830;116730;116730
19/02/2020 14:50;116775;116820;116710;116820
19/02/2020 14:45;116775;116835;116730;116730
19/02/2020 14:40;116775;116820;116700;116820
19/02/2020 14:34;116775;116835;116730;116730
19/02/2020 14:33;116775;116820;116760;116820
19/02/2020 14:32;116730;116775;116725;116775
19/02/2020 14:26;116685;116730;116630;116730
19/02/2020 14:25;116685;116745;116640;116640
19/02/2020 14:24;116730;116745;116685;116685
19/02/2020 14:23;116775;116825;116730;116730
19/02/2020 14:23;116820;116820;116775;116775
19/02/2020 14:09;116865;116940;116820;116820
19/02/2020 14:04;116910;116955;116865;116865
