Data;Abertura;Máxima;Mínima;Fechamento
14/02/2020 16:35;115100;115185;114915;114975
14/02/2020 16:27;115000;115100;114915;115100
14/02/2020 16:21;114900;115000;114765;115000
14/02/2020 16:16;114900;114965;114800;114800
14/02/2020 16:14;115000;115020;114900;114900
14/02/2020 15:38;115100;115250;115000;115000
14/02/2020 15:04;115100;115200;114925;115200
14/02/2020 15:02;115000;115100;114890;115100
14/02/2020 14:50;115000;115070;114900;114900
14/02/2020 14:45;115100;115275;115000;115000
14/02/2020 14:27;115100;115200;114970;115200
14/02/2020 14:26;115000;115100;114980;115100
14/02/2020 14:16;114900;115000;114785;115000
14/02/2020 13:49;114900;115055;114800;114800
14/02/2020 13:46;115000;115070;114900;114900
14/02/2020 13:01;115100;115260;115000;115000
14/02/2020 12:44;115200;115280;115100;115100
14/02/2020 12:40;115300;115350;115200;115200
14/02/2020 12:09;115400;115510;115300;115300
14/02/2020 12:07;115400;115500;115375;115500
14/02/2020 12:03;115300;115400;115170;115400
14/02/2020 11:50;115300;115460;115200;115200
14/02/2020 11:49;115400;115425;115300;115300
14/02/2020 11:45;115500;115555;115400;115400
14/02/2020 11:38;115600;115710;115500;115500
14/02/2020 11:36;115700;115710;115600;115600
14/02/2020 11:31;115800;115990;115700;115700
14/02/2020 11:29;115900;115965;115800;115800
14/02/2020 11:17;116000;116180;115900;115900
14/02/2020 11:05;116100;116270;116000;116000
14/02/2020 10:56;116100;116200;115950;116200
14/02/2020 10:53;116000;116100;115950;116100
14/02/2020 10:38;115900;116000;115780;116000
14/02/2020 10:23;115900;116055;115800;115800
14/02/2020 10:22;116000;116020;115900;115900
14/02/2020 10:05;116100;116295;116000;116000
14/02/2020 10:04;116200;116235;116100;116100
14/02/2020 10:01;116300;116325;116200;116200
14/02/2020 09:27;116400;116565;116300;116300
14/02/2020 09:16;116500;116530;116400;116400
14/02/2020 09:06;116600;116660;116500;116500
14/02/2020 09:05;116700;116700;116600;116600
14/02/2020 09:01;116800;116930;116700;116700
14/02/2020 09:00;116800;116900;116705;116900
14/02/2020 09:00;116700;116800;116660;116800
14/02/2020 09:00;116600;116700;116600;116700
14/02/2020 09:00;116500;116600;116500;116600
14/02/2020 09:00;116400;116500;116400;116500
13/02/2020 18:16;116300;116400;116195;116400
13/02/2020 18:09;116300;116435;116200;116200
13/02/2020 17:55;116300;116400;116165;116400
13/02/2020 17:48;116300;116405;116200;116200
13/02/2020 17:47;116300;116400;116285;116400
