Data;Abertura;Máxima;Mínima;Fechamento
14/02/2020 16:16;114880;115185;114765;114975
14/02/2020 14:45;115040;115275;114880;114880
14/02/2020 14:07;115040;115200;114785;115200
14/02/2020 13:46;115040;115080;114880;114880
14/02/2020 12:03;115200;115510;115040;115040
14/02/2020 11:50;115360;115460;115200;115200
14/02/2020 11:45;115520;115555;115360;115360
14/02/2020 11:36;115680;115710;115520;115520
14/02/2020 11:31;115840;115990;115680;115680
14/02/2020 11:03;116000;116270;115840;115840
14/02/2020 10:35;116000;116160;115780;116160
14/02/2020 10:22;116000;116055;115840;115840
14/02/2020 10:05;116160;116295;116000;116000
14/02/2020 10:01;116320;116325;116160;116160
14/02/2020 09:17;116480;116565;116320;116320
14/02/2020 09:00;116640;116930;116480;116480
14/02/2020 09:00;116640;116800;116640;116800
14/02/2020 09:00;116480;116640;116480;116640
13/02/2020 17:13;116320;116480;116055;116480
13/02/2020 17:00;116320;116530;116160;116160
13/02/2020 15:45;116320;116480;116070;116480
13/02/2020 14:30;116160;116320;115900;116320
13/02/2020 14:27;116160;116185;116000;116000
13/02/2020 13:59;116320;116560;116160;116160
13/02/2020 13:35;116480;116705;116320;116320
13/02/2020 13:33;116480;116640;116460;116640
13/02/2020 12:47;116320;116480;116095;116480
13/02/2020 12:46;116160;116320;116145;116320
13/02/2020 12:42;116000;116160;115950;116160
13/02/2020 12:29;115840;116000;115615;116000
13/02/2020 12:14;115840;116090;115680;115680
13/02/2020 12:01;115840;116000;115650;116000
13/02/2020 11:57;115840;115895;115680;115680
13/02/2020 11:51;116000;116025;115840;115840
13/02/2020 11:25;116160;116380;116000;116000
13/02/2020 11:23;116320;116355;116160;116160
13/02/2020 10:59;116480;116645;116320;116320
13/02/2020 10:55;116480;116640;116445;116640
13/02/2020 10:53;116320;116480;116320;116480
13/02/2020 10:49;116160;116320;116160;116320
13/02/2020 10:45;116000;116160;115995;116160
13/02/2020 10:33;115840;116000;115635;116000
13/02/2020 10:24;115680;115840;115440;115840
13/02/2020 10:12;115680;115795;115520;115520
13/02/2020 10:01;115840;116140;115680;115680
13/02/2020 09:49;116000;116090;115840;115840
13/02/2020 09:10;116160;116360;116000;116000
13/02/2020 09:08;116160;116320;116155;116320
13/02/2020 09:03;116000;116160;115825;116160
13/02/2020 09:03;116000;116020;115840;115840
13/02/2020 09:03;116160;116160;116000;116000
13/02/2020 09:03;116320;116320;116160;116160
13/02/2020 09:03;116480;116480;116320;116320
13/02/2020 09:03;116640;116640;116480;116480
13/02/2020 09:03;116800;116800;116640;116640
13/02/2020 09:03;116960;116960;116800;116800
13/02/2020 09:03;117120;117120;116960;116960
12/02/2020 18:05;117280;117395;117120;117120
12/02/2020 17:52;117440;117695;117280;117280
12/02/2020 17:20;117440;117600;117215;117600
12/02/2020 17:11;117440;117535;117280;117280
12/02/2020 17:00;117600;117820;117440;117440
12/02/2020 16:55;117760;117770;117600;117600
12/02/2020 16:42;117920;117960;117760;117760
12/02/2020 16:37;118080;118160;117920;117920
12/02/2020 16:11;118240;118420;118080;118080
12/02/2020 16:04;118240;118400;118175;118400
12/02/2020 15:57;118080;118240;117990;118240
12/02/2020 15:53;117920;118080;117885;118080
12/02/2020 15:45;117760;117920;117760;117920
12/02/2020 15:28;117600;117760;117470;117760
12/02/2020 15:01;117440;117600;117365;117600
12/02/2020 14:59;117280;117440;117270;117440
12/02/2020 14:58;117120;117280;117110;117280
12/02/2020 14:45;116960;117120;116900;117120
12/02/2020 14:03;116800;116960;116625;116960
12/02/2020 13:31;116640;116800;116415;116800
12/02/2020 12:23;116640;116950;116480;116480
12/02/2020 12:06;116640;116800;116465;116800
12/02/2020 10:30;116640;116950;116480;116480
12/02/2020 10:20;116640;116800;116370;116800
12/02/2020 10:01;116640;116870;116480;116480
12/02/2020 09:57;116640;116800;116605;116800
12/02/2020 09:34;116480;116640;116310;116640
12/02/2020 09:32;116480;116545;116320;116320
12/02/2020 09:29;116640;116650;116480;116480
12/02/2020 09:20;116800;116900;116640;116640
12/02/2020 09:04;116960;117150;116800;116800
12/02/2020 09:01;116960;117120;116805;117120
12/02/2020 09:00;116800;116960;116500;116960
12/02/2020 09:00;116800;117040;116640;116640
12/02/2020 09:00;116800;116960;116800;116960
12/02/2020 09:00;116640;116800;116640;116800
12/02/2020 09:00;116480;116640;116480;116640
12/02/2020 09:00;116320;116480;116320;116480
11/02/2020 17:50;116160;116320;116000;116320
11/02/2020 17:30;116000;116160;115830;116160
11/02/2020 17:11;115840;116000;115650;116000
11/02/2020 17:02;115840;115865;115680;115680
11/02/2020 16:05;116000;116275;115840;115840
11/02/2020 15:35;116160;116420;116000;116000
11/02/2020 14:19;116160;116320;116035;116320
11/02/2020 13:11;116000;116160;115695;116160
11/02/2020 12:15;115840;116000;115600;116000
11/02/2020 12:04;115680;115840;115620;115840
11/02/2020 11:56;115520;115680;115495;115680
11/02/2020 11:45;115360;115520;115300;115520
11/02/2020 11:30;115200;115360;114970;115360
11/02/2020 11:27;115040;115200;114990;115200
11/02/2020 11:00;114880;115040;114785;115040
11/02/2020 10:46;114720;114880;114665;114880
11/02/2020 10:35;114560;114720;114340;114720
11/02/2020 10:30;114560;114715;114400;114400
11/02/2020 10:21;114720;114800;114560;114560
11/02/2020 10:20;114880;115050;114720;114720
11/02/2020 10:15;114880;115040;114725;115040
11/02/2020 10:00;114720;114880;114450;114880
11/02/2020 09:25;114720;114930;114560;114560
11/02/2020 09:03;114720;114880;114450;114880
11/02/2020 09:03;114560;114720;114560;114720
11/02/2020 09:03;114400;114560;114400;114560
11/02/2020 09:03;114240;114400;114240;114400
11/02/2020 09:03;114080;114240;114080;114240
11/02/2020 09:03;113920;114080;113920;114080
10/02/2020 18:06;113760;113920;113630;113920
10/02/2020 17:54;113600;113760;113545;113760
10/02/2020 17:46;113440;113600;113415;113600
10/02/2020 17:43;113280;113440;113280;113440
10/02/2020 16:03;113120;113280;112910;113280
10/02/2020 14:36;113120;113430;112960;112960
10/02/2020 14:14;113280;113370;113120;113120
10/02/2020 14:04;113440;113505;113280;113280
10/02/2020 14:03;113600;113600;113440;113440
10/02/2020 13:36;113760;113925;113600;113600
10/02/2020 13:19;113760;113920;113575;113920
10/02/2020 12:39;113760;113985;113600;113600
10/02/2020 11:50;113760;113920;113445;113920
10/02/2020 11:49;113760;113760;113600;113600
10/02/2020 11:47;113920;113920;113760;113760
10/02/2020 11:21;114080;114205;113920;113920
10/02/2020 11:15;114240;114240;114080;114080
10/02/2020 11:12;114400;114455;114240;114240
10/02/2020 11:05;114560;114575;114400;114400
10/02/2020 10:45;114720;114960;114560;114560
10/02/2020 10:43;114720;114880;114720;114880
10/02/2020 10:40;114560;114720;114545;114720
10/02/2020 10:34;114400;114560;114325;114560
10/02/2020 10:15;114240;114400;114110;114400
10/02/2020 09:38;114080;114240;113805;114240
10/02/2020 09:00;114080;114380;113920;113920
07/02/2020 18:17;114240;114240;114080;114080
07/02/2020 18:09;114400;114400;114240;114240
07/02/2020 18:09;114560;114560;114400;114400
07/02/2020 18:09;114720;114955;114560;114560
07/02/2020 18:09;114720;114880;114720;114880
07/02/2020 18:08;114560;114720;114300;114720
07/02/2020 17:59;114560;114560;114400;114400
07/02/2020 16:21;114720;114980;114560;114560
07/02/2020 15:43;114880;115155;114720;114720
07/02/2020 15:42;115040;115040;114880;114880
07/02/2020 14:51;115200;115440;115040;115040
07/02/2020 13:55;115360;115680;115200;115200
07/02/2020 13:17;115360;115520;115170;115520
07/02/2020 12:58;115200;115360;114940;115360
07/02/2020 12:43;115040;115200;115040;115200
07/02/2020 12:10;114880;115040;114615;115040
07/02/2020 12:09;114880;114880;114720;114720
07/02/2020 12:00;115040;115040;114880;114880
07/02/2020 11:50;115200;115285;115040;115040
07/02/2020 11:45;115360;115360;115200;115200
07/02/2020 11:36;115520;115810;115360;115360
07/02/2020 11:34;115520;115680;115330;115680
07/02/2020 11:31;115520;115700;115360;115360
07/02/2020 10:49;115520;115680;115350;115680
07/02/2020 10:37;115520;115725;115360;115360
07/02/2020 10:30;115680;115985;115520;115520
07/02/2020 10:19;115680;115840;115490;115840
07/02/2020 10:16;115520;115680;115520;115680
07/02/2020 09:19;115360;115520;115095;115520
07/02/2020 09:02;115360;115400;115200;115200
07/02/2020 09:02;115520;115520;115360;115360
07/02/2020 09:02;115680;115680;115520;115520
06/02/2020 17:56;115840;116055;115680;115680
06/02/2020 16:37;115840;116000;115600;116000
06/02/2020 16:23;115840;115875;115680;115680
06/02/2020 16:05;116000;116100;115840;115840
06/02/2020 15:48;116160;116325;116000;116000
06/02/2020 15:36;116320;116320;116160;116160
06/02/2020 15:24;116480;116520;116320;116320
06/02/2020 15:15;116640;116725;116480;116480
06/02/2020 15:10;116800;116800;116640;116640
06/02/2020 13:55;116960;117200;116800;116800
06/02/2020 13:37;117120;117315;116960;116960
06/02/2020 12:52;117120;117280;116850;117280
06/02/2020 12:29;117120;117245;116960;116960
06/02/2020 12:23;117280;117335;117120;117120
06/02/2020 12:20;117440;117440;117280;117280
06/02/2020 11:41;117600;117890;117440;117440
06/02/2020 11:35;117760;117820;117600;117600
06/02/2020 11:33;117920;117920;117760;117760
06/02/2020 11:10;118080;118280;117920;117920
06/02/2020 11:03;118080;118240;117995;118240
06/02/2020 10:16;117920;118080;117615;118080
06/02/2020 09:35;117920;118160;117760;117760
06/02/2020 09:28;117920;118080;117905;118080
06/02/2020 09:10;117760;117920;117685;117920
06/02/2020 09:01;117600;117760;117600;117760
06/02/2020 09:01;117440;117600;117440;117600
06/02/2020 09:01;117280;117440;117280;117440
05/02/2020 16:50;117120;117280;116950;117280
05/02/2020 16:40;117120;117120;116960;116960
05/02/2020 14:55;117280;117500;117120;117120
05/02/2020 14:50;117440;117440;117280;117280
05/02/2020 13:51;117600;117680;117440;117440
05/02/2020 12:39;117760;117855;117600;117600
05/02/2020 12:27;117920;117920;117760;117760
05/02/2020 12:09;118080;118115;117920;117920
05/02/2020 10:08;118240;118540;118080;118080
05/02/2020 10:04;118240;118400;118170;118400
05/02/2020 10:01;118080;118240;118080;118240
05/02/2020 09:49;117920;118080;117885;118080
05/02/2020 09:43;117760;117920;117720;117920
05/02/2020 09:36;117600;117760;117600;117760
05/02/2020 09:00;117440;117600;117440;117600
05/02/2020 09:00;117280;117440;117280;117440
05/02/2020 09:00;117120;117280;117120;117280
05/02/2020 09:00;116960;117120;116960;117120
05/02/2020 09:00;116800;116960;116800;116960
05/02/2020 09:00;116640;116800;116640;116800
04/02/2020 17:43;116480;116640;116305;116640
04/02/2020 16:21;116480;116600;116320;116320
04/02/2020 15:40;116640;116700;116480;116480
04/02/2020 14:40;116800;116975;116640;116640
04/02/2020 14:03;116960;117090;116800;116800
04/02/2020 13:42;117120;117350;116960;116960
04/02/2020 13:40;117120;117280;117120;117280
04/02/2020 13:08;116960;117120;116680;117120
04/02/2020 12:42;116960;116965;116800;116800
04/02/2020 11:46;117120;117355;116960;116960
04/02/2020 11:21;117120;117280;116900;117280
04/02/2020 11:13;117120;117130;116960;116960
04/02/2020 09:57;117280;117540;117120;117120
